DATE,Open,High,Low,Close,Volume
01/03/2009,0.000,0.0003,0.0003,0.0003,0.00
01/04/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/05/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/06/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/07/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/08/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/09/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/10/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/11/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/12/2009,0.0003,0.0003,0.0003,0.0003,177.00
01/13/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/14/2009,0.0003,0.0003,0.0003,0.0003,61.00
01/15/2009,0.0003,0.0003,0.0003,0.0003,450.00
01/16/2009,0.0003,0.0003,0.0003,0.0003,200.00
01/17/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/18/2009,0.0003,0.0003,0.0003,0.0003,150.00
01/19/2009,0.0003,0.0003,0.0003,0.0003,775.00
01/20/2009,0.0003,0.0003,0.0003,0.0003,400.00
01/21/2009,0.0003,0.0003,0.0003,0.0003,100.00
01/22/2009,0.0003,0.0003,0.0003,0.0003,500.00
01/23/2009,0.0003,0.0003,0.0003,0.0003,450.00
01/24/2009,0.0003,0.0003,0.0003,0.0003,500.00
01/25/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/26/2009,0.0003,0.0003,0.0003,0.0003,1000.00
01/27/2009,0.0003,0.0003,0.0003,0.0003,150.00
01/28/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/29/2009,0.0003,0.0003,0.0003,0.0003,600.00
01/30/2009,0.0003,0.0003,0.0003,0.0003,0.00
01/31/2009,0.0003,0.0003,0.0003,0.0003,1000.00
02/01/2009,0.0003,0.0003,0.0003,0.0003,100.00
02/02/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/03/2009,0.0003,0.0003,0.0003,0.0003,634.51
02/04/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/05/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/06/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/07/2009,0.0003,0.0003,0.0003,0.0003,1198.00
02/08/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/09/2009,0.0003,0.0003,0.0003,0.0003,2200.00
02/10/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/11/2009,0.0003,0.0003,0.0003,0.0003,550.04
02/12/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/13/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/14/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/15/2009,0.0003,0.0003,0.0003,0.0003,900.00
02/16/2009,0.0003,0.0003,0.0003,0.0003,1500.00
02/17/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/18/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/19/2009,0.0003,0.0003,0.0003,0.0003,800.00
02/20/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/21/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/22/2009,0.0003,0.0003,0.0003,0.0003,600.00
02/23/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/24/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/25/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/26/2009,0.0003,0.0003,0.0003,0.0003,0.00
02/27/2009,0.0003,0.0003,0.0003,0.0003,1800.00
02/28/2009,0.0003,0.0003,0.0003,0.0003,350.00
03/01/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/02/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/03/2009,0.0003,0.0003,0.0003,0.0003,400.00
03/04/2009,0.0003,0.0003,0.0003,0.0003,1250.00
03/05/2009,0.0003,0.0003,0.0003,0.0003,400.00
03/06/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/07/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/08/2009,0.0003,0.0003,0.0003,0.0003,1500.00
03/09/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/10/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/11/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/12/2009,0.0003,0.0003,0.0003,0.0003,150.00
03/13/2009,0.0003,0.0003,0.0003,0.0003,750.00
03/14/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/15/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/16/2009,0.0003,0.0003,0.0003,0.0003,2400.00
03/17/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/18/2009,0.0003,0.0003,0.0003,0.0003,700.00
03/19/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/20/2009,0.0003,0.0003,0.0003,0.0003,600.00
03/21/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/22/2009,0.0003,0.0003,0.0003,0.0003,550.00
03/23/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/24/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/25/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/26/2009,0.0003,0.0003,0.0003,0.0003,1400.00
03/27/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/28/2009,0.0003,0.0003,0.0003,0.0003,950.00
03/29/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/30/2009,0.0003,0.0003,0.0003,0.0003,0.00
03/31/2009,0.0003,0.0003,0.0003,0.0003,1600.00
04/01/2009,0.0003,0.0003,0.0003,0.0003,0.00
04/02/2009,0.0003,0.0003,0.0003,0.0003,0.00
